Feature,Outlier Percentage
p23017_i0,2.166666666666667
p4198_i0,2.0
p30897_i0,2.0
p26254,1.8333333333333333
p26239,1.8333333333333333
p23407_i0,1.8333333333333333
p4290_i0,1.6666666666666667
p26213,1.5
p30150_i0,1.3333333333333335
p23114_i0,1.3333333333333335
p23412_i0,1.3333333333333335
p23037_i0,1.3333333333333335
p26414,1.1666666666666667
p23007_i0,1.1666666666666667
p23098_i0,1.1666666666666667
p23432_i0,1.1666666666666667
p26290,1.0
p4103_i0,1.0
p23032_i0,1.0
p6222_i0,1.0
p3147_i0,1.0
p23477_i0,1.0
p3137_i0,1.0
p3086_i0,1.0
p94_i0_a1,1.0
p4142_i0,1.0
p134_i0,1.0
p30850_i0,1.0
p102_i0_a0,1.0
p23422_i0,1.0
p30300_i0,0.8333333333333334
p23012_i0,0.8333333333333334
p30250_i0,0.8333333333333334
p26419,0.8333333333333334
p26424,0.8333333333333334
p21021_i0,0.8333333333333334
p30100_i0,0.8333333333333334
p26274,0.8333333333333334
p22040_i0,0.8333333333333334
p4120_i0,0.8333333333333334
p23437_i0,0.8333333333333334
p26218,0.8333333333333334
p26234,0.8333333333333334
p23457_i0,0.8333333333333334
p23442_i0,0.8333333333333334
p23427_i0,0.8333333333333334
p23417_i0,0.8333333333333334
p23109_i0,0.8333333333333334
p23462_i0,0.6666666666666667
p26203,0.6666666666666667
p23467_i0,0.6666666666666667
p30040_i0,0.6666666666666667
p26429,0.6666666666666667
p77_i0,0.6666666666666667
p23027_i0,0.6666666666666667
p4080_i0_a0,0.6666666666666667
p30700_i0,0.6666666666666667
p30750_i0,0.6666666666666667
p23104_i0,0.5
p23129_i0,0.5
p23447_i0,0.5
p26223,0.5
p20162_i0,0.5
p26434,0.5
p23472_i0,0.5
p23402_i0,0.5
p26259,0.5
p23042_i0,0.5
p26284,0.5
p30650_i0,0.5
p30800_i0,0.5
p23119_i0,0.33333333333333337
p23452_i0,0.33333333333333337
p30600_i0,0.33333333333333337
p26244,0.33333333333333337
p26279,0.33333333333333337
p20015_i0,0.33333333333333337
p4147_i0,0.33333333333333337
p23124_i0,0.33333333333333337
p26249,0.33333333333333337
p47_i0,0.33333333333333337
p23022_i0,0.33333333333333337
p30200_i0,0.33333333333333337
p26228,0.16666666666666669
p26264,0.16666666666666669
p26269,0.16666666666666669
p4285_i0,0.16666666666666669
p23002_i0,0.16666666666666669
p26208,0.16666666666666669
p30760_i0,0.0
p26227,0.0
p26229,0.0
p26226,0.0
p26225,0.0
p26224,0.0
