dataframe,params,accuracy,auc
train_df_all_features_10_logistic,"{'sample_size': 500, 'random_state': 2024, 'nr_clus': 1, 'mf_shape': 'gauss2', 'merge_threshold': 1.0, 'm': 1.5, 'dataframe_name': 'train_df_all_features_10_logistic', 'covariance_type': 'full', 'consequent_method': 'normalized_means', 'clustering_method': 'fcm_binary'}",0.48,0.5169082125603865
train_df_all_drop_features_10,"{'sample_size': 500, 'random_state': 2024, 'nr_clus': 17, 'mf_shape': 'trimf', 'merge_threshold': 1.0, 'm': 2.0, 'dataframe_name': 'train_df_all_drop_features_10', 'covariance_type': 'full', 'consequent_method': 'normalized_means', 'clustering_method': 'fcm'}",0.46,0.5696457326892109
train_df_all_features_10_RFE,"{'sample_size': 500, 'random_state': 2024, 'nr_clus': 9, 'mf_shape': 'gauss', 'merge_threshold': 1.0, 'm': 2.0, 'dataframe_name': 'train_df_all_features_10_RFE', 'covariance_type': 'diag', 'consequent_method': 'global_LSE', 'clustering_method': 'fcm'}",0.46,0.48611111111111116
train_df_all_features_5,"{'sample_size': 500, 'random_state': 2024, 'nr_clus': 7, 'mf_shape': 'invsigmoid', 'merge_threshold': 1.0, 'm': 1.5, 'dataframe_name': 'train_df_all_features_5', 'covariance_type': 'tied', 'consequent_method': 'local_LSE', 'clustering_method': 'gmm'}",0.46,0.4255233494363929
train_df_all_features_10,"{'sample_size': 500, 'random_state': 2024, 'nr_clus': 13, 'mf_shape': 'trapmf', 'merge_threshold': 1.0, 'm': 2.0, 'dataframe_name': 'train_df_all_features_10', 'covariance_type': 'tied', 'consequent_method': 'global_LSE', 'clustering_method': 'gmm'}",0.4,0.34863123993558776
train_df_all_features_10_manual,"{'sample_size': 500, 'random_state': 2024, 'nr_clus': 15, 'mf_shape': 'gauss', 'merge_threshold': 1.0, 'm': 2.5, 'dataframe_name': 'train_df_all_features_10_manual', 'covariance_type': 'spherical', 'consequent_method': 'normalized_means', 'clustering_method': 'gk'}",0.46,0.552536231884058
train_df_all_features_10_manual,"{'sample_size': 500, 'random_state': 2024, 'nr_clus': 12, 'mf_shape': 'gauss', 'merge_threshold': 1.0, 'm': 2.5, 'dataframe_name': 'train_df_all_features_10_manual', 'covariance_type': 'spherical', 'consequent_method': 'global_LSE', 'clustering_method': 'gmm'}",0.5,0.4500805152979066
train_df_all_drop_features_10,"{'sample_size': 500, 'random_state': 2024, 'nr_clus': 14, 'mf_shape': 'gauss', 'merge_threshold': 1.0, 'm': 2.0, 'dataframe_name': 'train_df_all_drop_features_10', 'covariance_type': 'full', 'consequent_method': 'local_LSE', 'clustering_method': 'gmm'}",0.46,0.4541062801932366
train_df_all_features_15,"{'sample_size': 500, 'random_state': 2024, 'nr_clus': 4, 'mf_shape': 'invsigmoid', 'merge_threshold': 1.0, 'm': 2.5, 'dataframe_name': 'train_df_all_features_15', 'covariance_type': 'tied', 'consequent_method': 'global_LSE', 'clustering_method': 'fcm'}",0.5,0.4971819645732689
train_df_all_drop_features_10_PRS,"{'sample_size': 500, 'random_state': 2024, 'nr_clus': 7, 'mf_shape': 'invgauss', 'merge_threshold': 1.0, 'm': 2.0, 'dataframe_name': 'train_df_all_drop_features_10_PRS', 'covariance_type': 'diag', 'consequent_method': 'global_LSE', 'clustering_method': 'fcm_binary'}",,
train_df_all_features_10_logistic,"{'sample_size': 500, 'random_state': 2024, 'nr_clus': 17, 'mf_shape': 'gauss2', 'merge_threshold': 1.0, 'm': 2.5, 'dataframe_name': 'train_df_all_features_10_logistic', 'covariance_type': 'full', 'consequent_method': 'normalized_means', 'clustering_method': 'fcm'}",0.48,0.5169082125603865
train_df_all_drop_features_15,"{'sample_size': 500, 'random_state': 2024, 'nr_clus': 2, 'mf_shape': 'sigmoid', 'merge_threshold': 1.0, 'm': 1.5, 'dataframe_name': 'train_df_all_drop_features_15', 'covariance_type': 'tied', 'consequent_method': 'local_LSE', 'clustering_method': 'fst-pso'}",0.46,0.3965378421900161
train_df_all_drop_features_15,"{'sample_size': 500, 'random_state': 2024, 'nr_clus': 14, 'mf_shape': 'gauss', 'merge_threshold': 1.0, 'm': 2.5, 'dataframe_name': 'train_df_all_drop_features_15', 'covariance_type': 'full', 'consequent_method': 'normalized_means', 'clustering_method': 'gmm'}",0.46,0.48631239935587767
train_df_all_features_10_manual,"{'sample_size': 500, 'random_state': 2024, 'nr_clus': 8, 'mf_shape': 'invgauss', 'merge_threshold': 1.0, 'm': 2.5, 'dataframe_name': 'train_df_all_features_10_manual', 'covariance_type': 'diag', 'consequent_method': 'global_LSE', 'clustering_method': 'fcm'}",,
train_df_all_drop_features_5,"{'sample_size': 500, 'random_state': 2024, 'nr_clus': 5, 'mf_shape': 'trapmf', 'merge_threshold': 1.0, 'm': 2.0, 'dataframe_name': 'train_df_all_drop_features_5', 'covariance_type': 'full', 'consequent_method': 'normalized_means', 'clustering_method': 'gk'}",0.45,0.5181159420289855
train_df_all_features_10_logistic,"{'sample_size': 500, 'random_state': 2024, 'nr_clus': 7, 'mf_shape': 'sigmoid', 'merge_threshold': 1.0, 'm': 2.5, 'dataframe_name': 'train_df_all_features_10_logistic', 'covariance_type': 'spherical', 'consequent_method': 'local_LSE', 'clustering_method': 'gk'}",0.46,0.5104669887278582
train_df_all_drop_features_5,"{'sample_size': 500, 'random_state': 2024, 'nr_clus': 8, 'mf_shape': 'trimf', 'merge_threshold': 1.0, 'm': 2.5, 'dataframe_name': 'train_df_all_drop_features_5', 'covariance_type': 'full', 'consequent_method': 'global_LSE', 'clustering_method': 'fcm_binary'}",0.46,0.5106682769726247
train_df_all_features_15,"{'sample_size': 500, 'random_state': 2024, 'nr_clus': 11, 'mf_shape': 'invsigmoid', 'merge_threshold': 1.0, 'm': 1.5, 'dataframe_name': 'train_df_all_features_15', 'covariance_type': 'diag', 'consequent_method': 'global_LSE', 'clustering_method': 'gk'}",0.46,0.5656199677938808
train_df_all_drop_features_5,"{'sample_size': 500, 'random_state': 2024, 'nr_clus': 8, 'mf_shape': 'sigmoid', 'merge_threshold': 1.0, 'm': 2.5, 'dataframe_name': 'train_df_all_drop_features_5', 'covariance_type': 'tied', 'consequent_method': 'local_LSE', 'clustering_method': 'gmm'}",0.46,0.5406602254428341
train_df_all_drop_features_10,"{'sample_size': 500, 'random_state': 2024, 'nr_clus': 20, 'mf_shape': 'trapmf', 'merge_threshold': 1.0, 'm': 2.0, 'dataframe_name': 'train_df_all_drop_features_10', 'covariance_type': 'full', 'consequent_method': 'global_LSE', 'clustering_method': 'fcm_binary'}",0.46,0.43921095008051525
train_df_all_drop_features_15,"{'sample_size': 500, 'random_state': 2024, 'nr_clus': 18, 'mf_shape': 'invgauss', 'merge_threshold': 1.0, 'm': 2.0, 'dataframe_name': 'train_df_all_drop_features_15', 'covariance_type': 'spherical', 'consequent_method': 'global_LSE', 'clustering_method': 'fcm_binary'}",,
train_df_all_features_10_logistic,"{'sample_size': 500, 'random_state': 2024, 'nr_clus': 11, 'mf_shape': 'gauss', 'merge_threshold': 1.0, 'm': 1.5, 'dataframe_name': 'train_df_all_features_10_logistic', 'covariance_type': 'diag', 'consequent_method': 'normalized_means', 'clustering_method': 'fcm_binary'}",0.46,0.5672302737520128
train_df_all_features_20,"{'sample_size': 500, 'random_state': 2024, 'nr_clus': 16, 'mf_shape': 'sigmoid', 'merge_threshold': 1.0, 'm': 2.0, 'dataframe_name': 'train_df_all_features_20', 'covariance_type': 'diag', 'consequent_method': 'local_LSE', 'clustering_method': 'fcm_binary'}",0.46,0.46980676328502413
train_df_all_features_10_RFE,"{'sample_size': 500, 'random_state': 2024, 'nr_clus': 11, 'mf_shape': 'trapmf', 'merge_threshold': 1.0, 'm': 2.0, 'dataframe_name': 'train_df_all_features_10_RFE', 'covariance_type': 'diag', 'consequent_method': 'global_LSE', 'clustering_method': 'fcm'}",0.46,0.5
train_df_all_drop_features_10_manual,"{'sample_size': 500, 'random_state': 2024, 'nr_clus': 7, 'mf_shape': 'trimf', 'merge_threshold': 1.0, 'm': 2.5, 'dataframe_name': 'train_df_all_drop_features_10_manual', 'covariance_type': 'full', 'consequent_method': 'local_LSE', 'clustering_method': 'fcm'}",,
train_df_all_features_50,"{'sample_size': 500, 'random_state': 2024, 'nr_clus': 17, 'mf_shape': 'trapmf', 'merge_threshold': 1.0, 'm': 2.0, 'dataframe_name': 'train_df_all_features_50', 'covariance_type': 'diag', 'consequent_method': 'normalized_means', 'clustering_method': 'fcm'}",0.45,0.4891304347826087
train_df_all_features_10_PRS,"{'sample_size': 500, 'random_state': 2024, 'nr_clus': 6, 'mf_shape': 'invgauss', 'merge_threshold': 1.0, 'm': 1.5, 'dataframe_name': 'train_df_all_features_10_PRS', 'covariance_type': 'full', 'consequent_method': 'normalized_means', 'clustering_method': 'fcm'}",,
train_df_all_features_10_manual,"{'sample_size': 500, 'random_state': 2024, 'nr_clus': 13, 'mf_shape': 'gauss', 'merge_threshold': 1.0, 'm': 2.5, 'dataframe_name': 'train_df_all_features_10_manual', 'covariance_type': 'full', 'consequent_method': 'global_LSE', 'clustering_method': 'fcm'}",0.51,0.5130837359098229
train_df_all_features_15,"{'sample_size': 500, 'random_state': 2024, 'nr_clus': 15, 'mf_shape': 'gauss2', 'merge_threshold': 1.0, 'm': 2.0, 'dataframe_name': 'train_df_all_features_15', 'covariance_type': 'diag', 'consequent_method': 'global_LSE', 'clustering_method': 'fcm'}",0.44,0.4782608695652174
train_df_all_drop_features_15,"{'sample_size': 500, 'random_state': 2024, 'nr_clus': 6, 'mf_shape': 'invsigmoid', 'merge_threshold': 1.0, 'm': 2.0, 'dataframe_name': 'train_df_all_drop_features_15', 'covariance_type': 'full', 'consequent_method': 'global_LSE', 'clustering_method': 'fst-pso'}",0.49,0.49838969404186795
train_df_all_drop_features_10_PRS,"{'sample_size': 500, 'random_state': 2024, 'nr_clus': 7, 'mf_shape': 'sigmoid', 'merge_threshold': 1.0, 'm': 2.0, 'dataframe_name': 'train_df_all_drop_features_10_PRS', 'covariance_type': 'full', 'consequent_method': 'local_LSE', 'clustering_method': 'gk'}",0.46,0.4927536231884058
train_df_all_drop_features_10_PRS,"{'sample_size': 500, 'random_state': 2024, 'nr_clus': 2, 'mf_shape': 'invgauss', 'merge_threshold': 1.0, 'm': 2.0, 'dataframe_name': 'train_df_all_drop_features_10_PRS', 'covariance_type': 'diag', 'consequent_method': 'normalized_means', 'clustering_method': 'gmm'}",,
train_df_all_features_50,"{'sample_size': 500, 'random_state': 2024, 'nr_clus': 16, 'mf_shape': 'gauss2', 'merge_threshold': 1.0, 'm': 1.5, 'dataframe_name': 'train_df_all_features_50', 'covariance_type': 'full', 'consequent_method': 'normalized_means', 'clustering_method': 'gk'}",0.44,0.47665056360708535
train_df_all_features_10_RFE,"{'sample_size': 500, 'random_state': 2024, 'nr_clus': 12, 'mf_shape': 'gauss2', 'merge_threshold': 1.0, 'm': 1.5, 'dataframe_name': 'train_df_all_features_10_RFE', 'covariance_type': 'spherical', 'consequent_method': 'normalized_means', 'clustering_method': 'fcm_binary'}",0.46,0.5797101449275363
train_df_all_features_5,"{'sample_size': 500, 'random_state': 2024, 'nr_clus': 16, 'mf_shape': 'trimf', 'merge_threshold': 1.0, 'm': 2.0, 'dataframe_name': 'train_df_all_features_5', 'covariance_type': 'diag', 'consequent_method': 'normalized_means', 'clustering_method': 'fcm'}",0.44,0.5491143317230274
train_df_all_features_30,"{'sample_size': 500, 'random_state': 2024, 'nr_clus': 2, 'mf_shape': 'invsigmoid', 'merge_threshold': 1.0, 'm': 2.5, 'dataframe_name': 'train_df_all_features_30', 'covariance_type': 'diag', 'consequent_method': 'global_LSE', 'clustering_method': 'fst-pso'}",0.46,0.5567632850241545
train_df_all_drop_features_15,"{'sample_size': 500, 'random_state': 2024, 'nr_clus': 1, 'mf_shape': 'invsigmoid', 'merge_threshold': 1.0, 'm': 2.5, 'dataframe_name': 'train_df_all_drop_features_15', 'covariance_type': 'tied', 'consequent_method': 'global_LSE', 'clustering_method': 'fcm'}",0.46,0.5
train_df_all_drop_features_5,"{'sample_size': 500, 'random_state': 2024, 'nr_clus': 15, 'mf_shape': 'sigmoid', 'merge_threshold': 1.0, 'm': 2.5, 'dataframe_name': 'train_df_all_drop_features_5', 'covariance_type': 'spherical', 'consequent_method': 'local_LSE', 'clustering_method': 'fst-pso'}",0.46,0.44202898550724645
